Offset	Amplitude	X Position	Y Position	X Peak Width	Y Peak Width	6 N Photons	ChiSquared	FitOK	Frame Number	Peak Index of Frame	Peak Global Index	12 X PkW * Y PkW	Sigma Amplitude	Sigma X Pos rtNph	Sigma Y Pos rtNph	Sigma X Pos Full	Sigma Y Pos Full	18 Grouped Index	Group X Position	Group Y Position	Group Sigma X Pos	Group Sigma Y Pos	Group N Photons	24 Group Size	Frame Index in Grp	Label Set	Amplitude L1	Amplitude L2	Amplitude L3	30 FitOK Labels	Zeta0	Sigma Amp L2	Sigma Amp L3	Unwrapped Z	Sigma Z	36 Coherence	Group A1	Group A2	Group A3	Unwrapped Group Z	Group Sigma Z	42 Group Coherence	XY Ellipticity	Z Position	Unwrapped Z Error	XY Group Ellipticity	Group Z Position	Unwrapped Group Z Error
 1.80117E+002	 1.02728E+002	 2.01915E+002	 2.11530E+002	 1.46981E+000	 1.38134E+000	 1.27200E+003	 1.94997E+002	 1.00000E+000	 7.60000E+001	 2.55000E+002	 2.10660E+004	 2.03031E+000	 1.01355E+001	 4.12113E-002	 3.87309E-002	 1.41824E-001	 1.26043E-001	 4.51500E+003	 2.01915E+002	 2.11530E+002	 1.41824E-001	 1.26043E-001	 1.27200E+003	 1.00000E+000	 1.00000E+000	 0.00000E+000	 6.11161E+001	 5.48511E+001	 2.82297E+001	 1.00000E+002	 3.73305E-001	 4.45805E-001	 0.00000E+000	 2.37536E+002	 1.19759E+001	 5.61898E-001	 6.11161E+001	 5.48511E+001	 2.82297E+001	 2.37536E+002	 1.19759E+001	 5.61898E-001	 3.10269E-002	 2.37536E+002	 5.43809E+001	 3.10269E-002	 2.37536E+002	 5.43809E+001
 1.67223E+002	 9.12001E+001	 2.01841E+002	 2.10685E+002	 1.46004E+000	 1.44410E+000	 1.17000E+003	 1.04790E+002	 1.00000E+000	 8.50000E+001	 2.87000E+002	 2.34730E+004	 2.10845E+000	 9.54988E+000	 4.26847E-002	 4.22187E-002	 1.07829E-001	 1.05691E-001	 4.89900E+003	 2.01712E+002	 2.10632E+002	 1.01838E-001	 1.01838E-001	 2.13700E+003	 2.00000E+000	 2.00000E+000	 0.00000E+000	 3.20060E+001	 3.69391E+001	 2.26284E+001	 1.00000E+002	 2.37293E-001	 2.88691E-001	 0.00000E+000	 2.21852E+002	 2.56938E+001	 2.73080E-001	 3.52349E+001	 3.90901E+001	 1.92915E+001	 2.44279E+002	 1.44683E+001	 3.58832E-001	 5.48906E-003	 2.21852E+002	 7.96844E+001	 9.73403E-002	 2.44279E+002	-4.76298E+001
 1.91729E+002	 1.45319E+002	 2.02228E+002	 2.10351E+002	 1.21133E+000	 1.28768E+000	 1.41000E+003	 3.06924E+002	 1.00000E+000	 1.67000E+002	 1.17000E+002	 4.38380E+004	 1.55981E+000	 1.20548E+001	 3.22592E-002	 3.42924E-002	 1.16089E-001	 1.30521E-001	 9.02900E+003	 2.02228E+002	 2.10351E+002	 1.16089E-001	 1.30521E-001	 1.41000E+003	 1.00000E+000	 1.00000E+000	 0.00000E+000	 2.34744E+001	 8.23204E+001	 4.62144E+001	 1.00000E+002	 3.80205E-001	 4.81477E-001	 0.00000E+000	 1.10642E+002	 1.02762E+001	 6.21968E-001	 2.34744E+001	 8.23204E+001	 4.62144E+001	 1.10642E+002	 1.02762E+001	 6.21968E-001	-3.05504E-002	 1.10642E+002	 2.69879E+001	-3.05504E-002	 1.10642E+002	 2.69879E+001
 1.65207E+002	 9.16998E+001	 2.03619E+002	 2.09499E+002	 1.33787E+000	 1.19676E+000	 9.13000E+002	 1.66358E+002	 1.00000E+000	 4.54000E+002	 2.36000E+002	 1.05882E+005	 1.60111E+000	 9.57600E+000	 4.42769E-002	 3.96071E-002	 1.49917E-001	 1.21451E-001	 2.24590E+004	 2.03711E+002	 2.09515E+002	 7.17652E-002	 7.17652E-002	 4.17700E+003	 4.00000E+000	 1.00000E+000	 0.00000E+000	 3.04776E+001	 2.90072E+001	 3.73970E+001	 1.00000E+002	 2.64942E-001	 5.13246E-001	 0.00000E+000	 2.38176E+002	 1.15338E+001	 6.88660E-001	 4.42651E+001	 2.59463E+001	 3.60991E+001	 2.59359E+002	 4.19339E+000	 8.85551E-001	 5.56697E-002	 2.38176E+002	 1.58380E+001	 1.00329E-001	 2.59359E+002	-3.63363E+001
 1.65615E+002	 8.51903E+001	 2.03714E+002	 2.09560E+002	 1.39858E+000	 1.37389E+000	 1.00700E+003	 2.17571E+002	 1.00000E+000	 4.59000E+002	 2.62000E+002	 1.06948E+005	 1.92149E+000	 9.22986E+000	 4.40729E-002	 4.32949E-002	 1.38377E-001	 1.33800E-001	 2.24590E+004	 2.03711E+002	 2.09515E+002	 7.17652E-002	 7.17652E-002	 4.17700E+003	 4.00000E+000	 4.00000E+000	 0.00000E+000	 4.00932E+001	 1.98487E+001	 2.90011E+001	 1.00000E+002	 2.46598E-001	 5.40836E-001	 0.00000E+000	 2.63864E+002	 7.66223E+000	 9.87055E-001	 4.42651E+001	 2.59463E+001	 3.60991E+001	 2.59368E+002	 4.19339E+000	 8.85551E-001	 8.90510E-003	 2.63864E+002	 1.17444E+002	 1.00329E-001	 2.59368E+002	-3.62260E+001
 1.58104E+002	 1.15141E+002	 2.03444E+002	 2.09000E+002	 1.51150E+000	 1.48278E+000	 1.55400E+003	 2.66246E+002	 1.00000E+000	 4.82000E+002	 1.39000E+002	 1.11693E+005	 2.24121E+000	 1.07304E+001	 3.83426E-002	 3.76141E-002	 1.38925E-001	 1.33919E-001	 2.37830E+004	 2.03444E+002	 2.09000E+002	 1.38925E-001	 1.33919E-001	 1.55400E+003	 1.00000E+000	 1.00000E+000	 0.00000E+000	 2.85661E+001	 4.05682E+001	 4.63242E+001	 1.00000E+002	 3.11535E-001	 3.77428E-001	 0.00000E+000	 2.18471E+002	 1.00731E+001	 6.04398E-001	 2.85661E+001	 4.05682E+001	 4.63242E+001	 2.18471E+002	 1.00731E+001	 6.04398E-001	 9.59098E-003	 2.18471E+002	 7.05372E+001	 9.59098E-003	 2.18471E+002	 7.05372E+001
 1.61057E+002	 1.11115E+002	 2.04092E+002	 2.09087E+002	 1.08201E+000	 1.07698E+000	 8.11000E+002	 2.78136E+002	 1.00000E+000	 5.10000E+002	 1.73000E+002	 1.17366E+005	 1.16530E+000	 1.05411E+001	 3.79945E-002	 3.78180E-002	 1.36902E-001	 1.35692E-001	 2.50590E+004	 2.04092E+002	 2.09087E+002	 1.36902E-001	 1.35692E-001	 8.11000E+002	 1.00000E+000	 1.00000E+000	 0.00000E+000	 4.14394E+001	 5.87276E+001	 9.86823E+000	 3.00000E+002	 2.66116E-001	 6.44053E-001	 0.00000E+000	 6.32734E+001	 1.15255E+001	 7.31207E-001	 4.14394E+001	 5.87276E+001	 9.86823E+000	 6.32734E+001	 1.15255E+001	 7.31207E-001	 2.32821E-003	 6.32734E+001	-7.23370E+001	 2.32821E-003	 6.32734E+001	-7.23370E+001
 1.62622E+002	 1.16589E+002	 2.03748E+002	 2.09413E+002	 1.15641E+000	 1.47295E+000	 1.22500E+003	 3.35062E+002	 1.00000E+000	 5.13000E+002	 1.40000E+002	 1.17940E+005	 1.70333E+000	 1.07976E+001	 3.30402E-002	 4.20843E-002	 9.44042E-002	 1.49020E-001	 2.51950E+004	 2.03919E+002	 2.09462E+002	 5.92717E-002	 5.92717E-002	 7.18500E+003	 6.00000E+000	 1.00000E+000	 0.00000E+000	 1.45803E+001	 6.17519E+001	 4.95763E+001	 1.00000E+002	 3.24921E-001	 4.44459E-001	 0.00000E+000	-1.18543E+002	 8.94849E+000	 7.66291E-001	 1.93887E+001	 6.28608E+001	 4.23967E+001	 1.63868E+002	 4.83834E+000	 5.85197E-001	-1.20387E-001	 1.72702E+002	-5.35648E+001	 1.57211E-002	 1.63868E+002	 6.41299E+000
 1.60665E+002	 1.28446E+002	 2.04052E+002	 2.09560E+002	 1.21526E+000	 1.30390E+000	 1.26400E+003	 2.16740E+002	 1.00000E+000	 5.14000E+002	 1.14000E+002	 1.18139E+005	 1.58458E+000	 1.13334E+001	 3.41817E-002	 3.66752E-002	 9.08903E-002	 1.03523E-001	 2.51950E+004	 2.03919E+002	 2.09462E+002	 5.92717E-002	 5.92717E-002	 7.18500E+003	 6.00000E+000	 2.00000E+000	 0.00000E+000	 2.14743E+001	 7.38412E+001	 3.98837E+001	 1.00000E+002	 3.37139E-001	 2.80407E-001	 0.00000E+000	 1.46652E+002	 1.09727E+001	 6.15213E-001	 1.93887E+001	 6.28608E+001	 4.23967E+001	 1.63928E+002	 4.83834E+000	 5.85197E-001	-3.51897E-002	 1.46652E+002	 7.18443E+001	 1.57211E-002	 1.63928E+002	 6.77966E+000
 1.66949E+002	 1.06135E+002	 2.04034E+002	 2.09535E+002	 1.39472E+000	 1.33217E+000	 1.21100E+003	 1.85924E+002	 1.00000E+000	 5.20000E+002	 1.44000E+002	 1.19359E+005	 1.85801E+000	 1.03022E+001	 4.00789E-002	 3.82815E-002	 1.10816E-001	 1.01812E-001	 2.51950E+004	 2.03919E+002	 2.09462E+002	 5.92717E-002	 5.92717E-002	 7.18500E+003	 6.00000E+000	 6.00000E+000	 0.00000E+000	 1.87891E+001	 5.48909E+001	 3.42050E+001	 1.00000E+002	 2.73337E-001	 3.62380E-001	 0.00000E+000	 1.59185E+002	 1.35552E+001	 5.08785E-001	 1.93887E+001	 6.28608E+001	 4.23967E+001	 1.64565E+002	 4.83834E+000	 5.85197E-001	 2.29373E-002	 1.59185E+002	-9.65877E+000	 1.57211E-002	 1.64565E+002	 7.39440E+000
