Offset	Amplitude	X Position	Y Position	X Peak Width	Y Peak Width	6 N Photons	ChiSquared	FitOK	Frame Number	Peak Index of Frame	Peak Global Index	12 X PkW * Y PkW	Sigma Amplitude	Sigma X Pos rtNph	Sigma Y Pos rtNph	Sigma X Pos Full	Sigma Y Pos Full	18 Grouped Index	Group X Position	Group Y Position	Group Sigma X Pos	Group Sigma Y Pos	Group N Photons	24 Group Size	Frame Index in Grp	Label Set	Amplitude L1	Amplitude L2	Amplitude L3	30 FitOK Labels	Zeta0	Sigma Amp L2	Sigma Amp L3	Unwrapped Z	Sigma Z	36 Coherence	Group A1	Group A2	Group A3	Unwrapped Group Z	Group Sigma Z	42 Group Coherence	XY Ellipticity	Z Position	Unwrapped Z Error	XY Group Ellipticity	Group Z Position	Unwrapped Group Z Error
 3.29466E+002	 2.09419E+003	 3.57055E+002	 1.86107E+002	 1.96250E+000	 1.32477E+000	 3.10810E+004	 5.86250E+003	 1.00000E+000	 4.40000E+001	 4.70000E+001	 5.40300E+003	 2.59985E+000	 4.57623E+001	 1.11317E-002	 7.51435E-003	 1.43262E-001	 6.55388E-002	 1.37700E+003	 3.57041E+002	 1.86092E+002	 2.00065E-002	 2.00065E-002	 1.00351E+006	 3.00000E+001	 3.00000E+000	 0.00000E+000	 8.21940E+002	 4.45937E+002	 8.81358E+002	 1.00000E+002	 3.54227E+000	 2.83502E-002	 0.00000E+000	 4.89986E+002	 2.81370E+000	 4.83822E-001	 7.25105E+002	 7.02334E+002	 8.98413E+002	 5.26839E+002	 5.41612E-001	 4.42347E-001	 1.94001E-001	 1.98740E+002	 8.46678E-001	 1.89797E-001	 2.35594E+002	 4.47133E+001
 3.30437E+002	 2.14248E+003	 3.57050E+002	 1.86071E+002	 1.92480E+000	 1.26156E+000	 3.00030E+004	 7.49195E+003	 1.00000E+000	 4.60000E+001	 3.90000E+001	 5.65500E+003	 2.42824E+000	 4.62869E+001	 1.11123E-002	 7.28324E-003	 1.44487E-001	 6.23370E-002	 1.37700E+003	 3.57041E+002	 1.86092E+002	 2.00065E-002	 2.00065E-002	 1.00351E+006	 3.00000E+001	 5.00000E+000	 0.00000E+000	 7.79858E+002	 5.17262E+002	 8.81941E+002	 1.00000E+002	 3.59889E+000	 3.11169E-002	 0.00000E+000	 5.00935E+002	 3.09480E+000	 4.47710E-001	 7.25105E+002	 7.02334E+002	 8.98413E+002	 5.26724E+002	 5.41612E-001	 4.42347E-001	 2.08149E-001	 2.09689E+002	-1.25449E+001	 1.89797E-001	 2.35479E+002	 4.45995E+001
 3.34412E+002	 2.24696E+003	 3.57096E+002	 1.86089E+002	 1.97481E+000	 1.28171E+000	 3.25470E+004	 7.83016E+003	 1.00000E+000	 4.70000E+001	 2.80000E+001	 5.76100E+003	 2.53114E+000	 4.74021E+001	 1.09464E-002	 7.10451E-003	 1.47997E-001	 6.25990E-002	 1.37700E+003	 3.57041E+002	 1.86092E+002	 2.00065E-002	 2.00065E-002	 1.00351E+006	 3.00000E+001	 6.00000E+000	 0.00000E+000	 7.93366E+002	 5.78572E+002	 9.00972E+002	 1.00000E+002	 3.75350E+000	 2.69563E-002	 0.00000E+000	 5.07086E+002	 3.16479E+000	 4.20350E-001	 7.25105E+002	 7.02334E+002	 8.98413E+002	 5.26667E+002	 5.41612E-001	 4.42347E-001	 2.12836E-001	 2.15841E+002	-1.47146E+001	 1.89797E-001	 2.35422E+002	 4.45457E+001
 3.46456E+002	 2.15480E+003	 3.57082E+002	 1.86081E+002	 1.83010E+000	 1.23503E+000	 2.85560E+004	 5.11822E+003	 1.00000E+000	 4.80000E+001	 4.10000E+001	 5.89800E+003	 2.26022E+000	 4.64198E+001	 1.08299E-002	 7.30849E-003	 1.26948E-001	 5.80912E-002	 1.37700E+003	 3.57041E+002	 1.86092E+002	 2.00065E-002	 2.00065E-002	 1.00351E+006	 3.00000E+001	 7.00000E+000	 0.00000E+000	 7.17341E+002	 5.87851E+002	 8.81379E+002	 1.00000E+002	 3.62270E+000	 2.39425E-002	 0.00000E+000	 5.13907E+002	 3.11428E+000	 4.56043E-001	 7.25105E+002	 7.02334E+002	 8.98413E+002	 5.26625E+002	 5.41612E-001	 4.42347E-001	 1.94143E-001	 2.22661E+002	 2.45337E+001	 1.89797E-001	 2.35379E+002	 4.45021E+001
 3.46387E+002	 2.21507E+003	 3.57096E+002	 1.85984E+002	 1.89058E+000	 1.24173E+000	 3.02650E+004	 4.26610E+003	 1.00000E+000	 4.90000E+001	 3.00000E+001	 6.02100E+003	 2.34758E+000	 4.70645E+001	 1.08674E-002	 7.13766E-003	 1.33289E-001	 5.77762E-002	 1.37700E+003	 3.57042E+002	 1.86092E+002	 2.00065E-002	 2.00065E-002	 1.00351E+006	 3.00000E+001	 8.00000E+000	 0.00000E+000	 7.09116E+002	 6.29523E+002	 8.92806E+002	 1.00000E+002	 3.69989E+000	 1.86022E-002	 0.00000E+000	 5.18959E+002	 2.99233E+000	 4.61032E-001	 7.25105E+002	 7.02334E+002	 8.98413E+002	 5.26572E+002	 5.41612E-001	 4.42347E-001	 2.07149E-001	 2.27713E+002	 7.24814E+000	 1.89797E-001	 2.35326E+002	 4.44555E+001
 3.33417E+002	 2.08788E+003	 3.57119E+002	 1.86013E+002	 1.86290E+000	 1.25330E+000	 2.84840E+004	 4.59740E+003	 1.00000E+000	 5.00000E+001	 4.50000E+001	 6.15900E+003	 2.33478E+000	 4.56933E+001	 1.10380E-002	 7.42600E-003	 1.23051E-001	 5.59931E-002	 1.37700E+003	 3.57042E+002	 1.86092E+002	 2.00065E-002	 2.00065E-002	 1.00351E+006	 3.00000E+001	 9.00000E+000	 0.00000E+000	 6.60189E+002	 5.62243E+002	 8.84992E+002	 1.00000E+002	 3.50517E+000	 2.71071E-002	 0.00000E+000	 5.14158E+002	 2.74524E+000	 5.18000E-001	 7.25105E+002	 7.02334E+002	 8.98413E+002	 5.26517E+002	 5.41612E-001	 4.42347E-001	 1.95624E-001	 2.22912E+002	 2.22958E+001	 1.89797E-001	 2.35271E+002	 4.44008E+001
 3.40560E+002	 2.18903E+003	 3.57075E+002	 1.86035E+002	 1.89632E+000	 1.26880E+000	 3.05440E+004	 4.92671E+003	 1.00000E+000	 5.10000E+001	 2.80000E+001	 6.26800E+003	 2.40605E+000	 4.67871E+001	 1.08505E-002	 7.25988E-003	 1.34563E-001	 6.05061E-002	 1.37700E+003	 3.57042E+002	 1.86092E+002	 2.00065E-002	 2.00065E-002	 1.00351E+006	 3.00000E+001	 1.00000E+001	 0.00000E+000	 7.06089E+002	 6.03437E+002	 8.98437E+002	 1.00000E+002	 3.66341E+000	 1.58301E-002	 0.00000E+000	 5.15773E+002	 2.88746E+000	 4.75590E-001	 7.25105E+002	 7.02334E+002	 8.98413E+002	 5.26493E+002	 5.41612E-001	 4.42347E-001	 1.98262E-001	 2.24527E+002	 1.94294E+001	 1.89797E-001	 2.35247E+002	 4.43720E+001
 3.47486E+002	 2.16837E+003	 3.57048E+002	 1.86063E+002	 1.82766E+000	 1.21141E+000	 2.81620E+004	 3.39210E+003	 1.00000E+000	 5.20000E+001	 3.50000E+001	 6.41700E+003	 2.21406E+000	 4.65658E+001	 1.08909E-002	 7.21873E-003	 1.26955E-001	 5.60653E-002	 1.37700E+003	 3.57042E+002	 1.86092E+002	 2.00065E-002	 2.00065E-002	 1.00351E+006	 3.00000E+001	 1.10000E+001	 0.00000E+000	 6.74461E+002	 6.23449E+002	 8.86947E+002	 1.00000E+002	 3.62915E+000	 1.86156E-002	 0.00000E+000	 5.20175E+002	 2.92759E+000	 4.88505E-001	 7.25105E+002	 7.02334E+002	 8.98413E+002	 5.26451E+002	 5.41612E-001	 4.42347E-001	 2.02775E-001	 2.28929E+002	 1.60791E+001	 1.89797E-001	 2.35206E+002	 4.43266E+001
 3.50445E+002	 2.08194E+003	 3.57047E+002	 1.86050E+002	 1.82491E+000	 1.24316E+000	 2.76820E+004	 3.87427E+003	 1.00000E+000	 5.30000E+001	 4.00000E+001	 6.55400E+003	 2.26865E+000	 4.56283E+001	 1.09684E-002	 7.47185E-003	 1.32558E-001	 6.17823E-002	 1.37700E+003	 3.57042E+002	 1.86091E+002	 2.00065E-002	 2.00065E-002	 1.00351E+006	 3.00000E+001	 1.20000E+001	 0.00000E+000	 6.05021E+002	 6.12831E+002	 8.78973E+002	 1.00000E+002	 3.49690E+000	 2.28102E-002	 0.00000E+000	 5.22500E+002	 2.61860E+000	 5.50862E-001	 7.25105E+002	 7.02334E+002	 8.98413E+002	 5.26387E+002	 5.41612E-001	 4.42347E-001	 1.89615E-001	 2.31254E+002	 4.06771E+001	 1.89797E-001	 2.35142E+002	 4.42631E+001
 3.39874E+002	 2.09623E+003	 3.57046E+002	 1.86128E+002	 1.75943E+000	 1.19858E+000	 2.61660E+004	 4.81264E+003	 1.00000E+000	 5.40000E+001	 4.50000E+001	 6.68000E+003	 2.10882E+000	 4.57846E+001	 1.08768E-002	 7.40966E-003	 1.19346E-001	 5.56806E-002	 1.37700E+003	 3.57042E+002	 1.86092E+002	 2.00065E-002	 2.00065E-002	 1.00351E+006	 3.00000E+001	 1.30000E+001	 0.00000E+000	 5.94061E+002	 6.33063E+002	 8.92661E+002	 1.00000E+002	 3.53937E+000	 2.35716E-002	 0.00000E+000	 5.24367E+002	 2.60412E+000	 5.69746E-001	 7.25105E+002	 7.02334E+002	 8.98413E+002	 5.26349E+002	 5.41612E-001	 4.42347E-001	 1.89603E-001	 2.33122E+002	 4.25604E+001	 1.89797E-001	 2.35104E+002	 4.42213E+001
