Offset	Amplitude	X Position	Y Position	X Peak Width	Y Peak Width	6 N Photons	ChiSquared	FitOK	Frame Number	Peak Index of Frame	Peak Global Index	12 X PkW * Y PkW	Sigma Amplitude	Sigma X Pos rtNph	Sigma Y Pos rtNph	Sigma X Pos Full	Sigma Y Pos Full	18 Grouped Index	Group X Position	Group Y Position	Group Sigma X Pos	Group Sigma Y Pos	Group N Photons	24 Group Size	Frame Index in Grp	Label Set	Amplitude L1	Amplitude L2	Amplitude L3	30 FitOK Labels	Zeta0	Sigma Amp L2	Sigma Amp L3	Unwrapped Z	Sigma Z	36 Coherence	Group A1	Group A2	Group A3	Unwrapped Group Z	Group Sigma Z	42 Group Coherence	XY Ellipticity	Z Position	Unwrapped Z Error	XY Group Ellipticity	Group Z Position	Unwrapped Group Z Error
 2.51317E+002	 2.46938E+003	 2.86806E+002	 2.31619E+002	 1.32840E+000	 1.57776E+000	 3.14500E+004	 6.49161E+003	 1.00000E+000	 1.00000E+000	 3.60000E+001	 2.50000E+001	 2.09590E+000	 4.96929E+001	 7.49062E-003	 8.89675E-003	 4.97107E-002	 6.98677E-002	 2.50000E+001	 2.86814E+002	 2.31625E+002	 9.62177E-003	 9.62177E-003	 1.02772E+006	 3.20000E+001	 1.00000E+000	 0.00000E+000	 7.63311E+002	 8.17038E+002	 9.05811E+002	 1.00000E+002	 2.47391E+000	 2.12849E-002	 0.00000E+000	-9.70745E+001	 2.64667E+000	 5.11330E-001	 7.73102E+002	 8.06003E+002	 9.16326E+002	-9.67439E+001	 4.44502E-001	 5.32599E-001	-8.58057E-002	 1.94171E+002	 8.46790E+001	-7.89703E-002	 1.94502E+002	 7.61677E+001
 2.47192E+002	 2.53152E+003	 2.86832E+002	 2.31651E+002	 1.36057E+000	 1.55798E+000	 3.23670E+004	 9.34791E+003	 1.00000E+000	 2.00000E+000	 3.20000E+001	 1.79000E+002	 2.11973E+000	 5.03142E+001	 7.56257E-003	 8.65983E-003	 6.00979E-002	 7.86378E-002	 2.50000E+001	 2.86814E+002	 2.31625E+002	 9.62177E-003	 9.62177E-003	 1.02772E+006	 3.20000E+001	 2.00000E+000	 0.00000E+000	 8.23559E+002	 8.22142E+002	 9.12444E+002	 1.00000E+002	 2.56123E+000	 2.43570E-002	 0.00000E+000	-9.25243E+001	 2.48083E+000	 5.37729E-001	 7.73102E+002	 8.06003E+002	 9.16326E+002	-9.68425E+001	 4.44502E-001	 5.32599E-001	-6.76384E-002	 1.98721E+002	 6.58252E+001	-7.89703E-002	 1.94403E+002	 7.60779E+001
 2.41459E+002	 2.54326E+003	 2.86823E+002	 2.31634E+002	 1.38564E+000	 1.58588E+000	 3.35510E+004	 7.03339E+003	 1.00000E+000	 3.00000E+000	 2.90000E+001	 3.54000E+002	 2.19745E+000	 5.04307E+001	 7.56479E-003	 8.65799E-003	 6.04411E-002	 7.90096E-002	 2.50000E+001	 2.86814E+002	 2.31625E+002	 9.62177E-003	 9.62177E-003	 1.02772E+006	 3.20000E+001	 3.00000E+000	 0.00000E+000	 8.21875E+002	 8.00665E+002	 9.35141E+002	 1.00000E+002	 2.57130E+000	 2.03698E-002	 0.00000E+000	-9.40946E+001	 2.30306E+000	 5.68923E-001	 7.73102E+002	 8.06003E+002	 9.16326E+002	-9.69390E+001	 4.44502E-001	 5.32599E-001	-6.73868E-002	 1.97151E+002	 6.39289E+001	-7.89703E-002	 1.94307E+002	 7.59779E+001
 2.40922E+002	 2.53072E+003	 2.86843E+002	 2.31631E+002	 1.34900E+000	 1.57408E+000	 3.24080E+004	 6.76862E+003	 1.00000E+000	 4.00000E+000	 3.70000E+001	 5.34000E+002	 2.12343E+000	 5.03062E+001	 7.49349E-003	 8.74381E-003	 5.48962E-002	 7.45383E-002	 2.50000E+001	 2.86814E+002	 2.31625E+002	 9.62177E-003	 9.62177E-003	 1.02772E+006	 3.20000E+001	 4.00000E+000	 0.00000E+000	 8.00061E+002	 8.10240E+002	 9.38349E+002	 1.00000E+002	 2.55282E+000	 2.22666E-002	 0.00000E+000	-9.61822E+001	 2.41833E+000	 5.51277E-001	 7.73102E+002	 8.06003E+002	 9.16326E+002	-9.70374E+001	 4.44502E-001	 5.32599E-001	-7.70028E-002	 1.95063E+002	 7.42015E+001	-7.89703E-002	 1.94208E+002	 7.58837E+001
 2.31408E+002	 2.52892E+003	 2.86845E+002	 2.31596E+002	 1.37906E+000	 1.61253E+000	 3.37220E+004	 6.65628E+003	 1.00000E+000	 5.00000E+000	 3.20000E+001	 7.13000E+002	 2.22377E+000	 5.02883E+001	 7.50975E-003	 8.78116E-003	 5.70528E-002	 7.78053E-002	 2.50000E+001	 2.86814E+002	 2.31625E+002	 9.62177E-003	 9.62177E-003	 1.02772E+006	 3.20000E+001	 5.00000E+000	 0.00000E+000	 7.75142E+002	 8.22354E+002	 9.43984E+002	 1.00000E+002	 2.53461E+000	 1.63688E-002	 0.00000E+000	-9.88810E+001	 2.45626E+000	 5.32084E-001	 7.73102E+002	 8.06003E+002	 9.16326E+002	-9.71355E+001	 4.44502E-001	 5.32599E-001	-7.80443E-002	 1.92365E+002	 7.28427E+001	-7.89703E-002	 1.94110E+002	 7.57828E+001
 2.27975E+002	 2.49106E+003	 2.86813E+002	 2.31618E+002	 1.39334E+000	 1.61397E+000	 3.37920E+004	 6.86192E+003	 1.00000E+000	 6.00000E+000	 3.60000E+001	 8.87000E+002	 2.24880E+000	 4.99106E+001	 7.57965E-003	 8.77987E-003	 5.16465E-002	 6.90874E-002	 2.50000E+001	 2.86814E+002	 2.31625E+002	 9.62177E-003	 9.62177E-003	 1.02772E+006	 3.20000E+001	 6.00000E+000	 0.00000E+000	 7.39723E+002	 8.26562E+002	 9.38307E+002	 1.00000E+002	 2.48566E+000	 1.97521E-002	 0.00000E+000	-1.01999E+002	 2.55049E+000	 5.11894E-001	 7.73102E+002	 8.06003E+002	 9.16326E+002	-9.72349E+001	 4.44502E-001	 5.32599E-001	-7.33656E-002	 1.89247E+002	 6.36947E+001	-7.89703E-002	 1.94011E+002	 7.56783E+001
 2.58676E+002	 2.51085E+003	 2.86836E+002	 2.31639E+002	 1.33944E+000	 1.59165E+000	 3.24490E+004	 6.91300E+003	 1.00000E+000	 7.00000E+000	 3.30000E+001	 1.06500E+003	 2.13192E+000	 5.01084E+001	 7.43570E-003	 8.83582E-003	 4.94929E-002	 6.96306E-002	 2.50000E+001	 2.86814E+002	 2.31625E+002	 9.62177E-003	 9.62177E-003	 1.02772E+006	 3.20000E+001	 7.00000E+000	 0.00000E+000	 7.63298E+002	 8.23226E+002	 9.33666E+002	 1.00000E+002	 2.50857E+000	 1.89632E-002	 0.00000E+000	-9.95298E+001	 2.55797E+000	 5.20853E-001	 7.73102E+002	 8.06003E+002	 9.16326E+002	-9.73313E+001	 4.44502E-001	 5.32599E-001	-8.60476E-002	 1.91716E+002	 8.25463E+001	-7.89703E-002	 1.93914E+002	 7.55891E+001
 2.22724E+002	 2.52793E+003	 2.86808E+002	 2.31633E+002	 1.38873E+000	 1.62276E+000	 3.40480E+004	 8.61292E+003	 1.00000E+000	 8.00000E+000	 3.30000E+001	 1.23800E+003	 2.25357E+000	 5.02785E+001	 7.52614E-003	 8.79443E-003	 5.94371E-002	 8.09649E-002	 2.50000E+001	 2.86814E+002	 2.31625E+002	 9.62177E-003	 9.62177E-003	 1.02772E+006	 3.20000E+001	 8.00000E+000	 0.00000E+000	 7.33425E+002	 8.48547E+002	 9.53636E+002	 1.00000E+002	 2.50794E+000	 1.91103E-002	 0.00000E+000	-1.04196E+002	 2.61217E+000	 4.97926E-001	 7.73102E+002	 8.06003E+002	 9.16326E+002	-9.74324E+001	 4.44502E-001	 5.32599E-001	-7.77115E-002	 1.87050E+002	 6.70937E+001	-7.89703E-002	 1.93813E+002	 7.54809E+001
 2.22436E+002	 2.53437E+003	 2.86829E+002	 2.31593E+002	 1.39175E+000	 1.62089E+000	 3.42010E+004	 8.68908E+003	 1.00000E+000	 9.00000E+000	 3.10000E+001	 1.40500E+003	 2.25587E+000	 5.03425E+001	 7.52561E-003	 8.76464E-003	 6.03224E-002	 8.16356E-002	 2.50000E+001	 2.86814E+002	 2.31625E+002	 9.62177E-003	 9.62177E-003	 1.02772E+006	 3.20000E+001	 9.00000E+000	 0.00000E+000	 7.22482E+002	 8.80164E+002	 9.45910E+002	 1.00000E+002	 2.50452E+000	 2.21437E-002	 0.00000E+000	-1.05865E+002	 2.82722E+000	 4.59021E-001	 7.73102E+002	 8.06003E+002	 9.16326E+002	-9.75366E+001	 4.44502E-001	 5.32599E-001	-7.60596E-002	 1.85380E+002	 6.32966E+001	-7.89703E-002	 1.93709E+002	 7.53777E+001
 2.35815E+002	 2.51220E+003	 2.86836E+002	 2.31599E+002	 1.35645E+000	 1.66554E+000	 3.38880E+004	 7.36004E+003	 1.00000E+000	 1.00000E+001	 3.40000E+001	 1.56500E+003	 2.25922E+000	 5.01218E+001	 7.36851E-003	 9.04758E-003	 5.62085E-002	 8.44721E-002	 2.50000E+001	 2.86814E+002	 2.31625E+002	 9.62177E-003	 9.62177E-003	 1.02772E+006	 3.20000E+001	 1.00000E+001	 0.00000E+000	 7.24377E+002	 8.76838E+002	 9.28770E+002	 1.00000E+002	 2.48589E+000	 1.93281E-002	 0.00000E+000	-1.04629E+002	 2.89028E+000	 4.51074E-001	 7.73102E+002	 8.06003E+002	 9.16326E+002	-9.76426E+001	 4.44502E-001	 5.32599E-001	-1.02282E-001	 1.86616E+002	 9.86298E+001	-7.89703E-002	 1.93603E+002	 7.52738E+001
