Offset	Amplitude	X Position	Y Position	X Peak Width	Y Peak Width	6 N Photons	ChiSquared	FitOK	Frame Number	Peak Index of Frame	Peak Global Index	12 X PkW * Y PkW	Sigma Amplitude	Sigma X Pos rtNph	Sigma Y Pos rtNph	Sigma X Pos Full	Sigma Y Pos Full	18 Grouped Index	Group X Position	Group Y Position	Group Sigma X Pos	Group Sigma Y Pos	Group N Photons	24 Group Size	Frame Index in Grp	Label Set	Amplitude L1	Amplitude L2	Amplitude L3	30 FitOK Labels	Zeta0	Sigma Amp L2	Sigma Amp L3	Z Position	Sigma Z	36 Coherence	Group A1	Group A2	Group A3	Group Z Position	Group Sigma Z	42 Group Coherence	XY Ellipticity	Unwrapped Z	Unwrapped Z Error	XY Group Ellipticity	Unwrapped Group Z	Unwrapped Group Z Error
 1.14474E+002	 1.49850E+002	 9.45613E+001	 1.45985E+002	 1.43091E+000	 1.16343E+000	 1.54100E+003	 1.49638E+002	 1.00000E+000	 1.36440E+004	 2.90000E+001	 1.52538E+006	 1.66475E+000	 1.22413E+001	 3.64511E-002	 2.96372E-002	 1.05979E-001	 7.24183E-002	 4.00790E+005	 9.45360E+001	 1.45843E+002	 3.52983E-002	 3.52983E-002	 9.79600E+003	 8.00000E+000	 1.00000E+000	 0.00000E+000	 5.54967E+001	 2.41126E+001	 8.07160E+001	 1.00000E+002	 3.37969E-001	 1.80979E-001	 0.00000E+000	 2.38711E+002	 7.64910E+000	 7.99281E-001	 3.36794E+001	 3.39443E+001	 7.28875E+001	 2.64403E+002	 2.87615E+000	 8.43093E-001	 1.03102E-001	 2.38711E+002	 7.37887E+001	 4.01928E-002	-2.68425E+001	-1.26337E+002
 1.12720E+002	 1.49962E+002	 9.45335E+001	 1.45743E+002	 1.35847E+000	 1.25236E+000	 1.58100E+003	 1.48622E+002	 1.00000E+000	 1.36450E+004	 2.70000E+001	 1.52549E+006	 1.70129E+000	 1.22459E+001	 3.41652E-002	 3.14966E-002	 7.09546E-002	 6.16761E-002	 4.00790E+005	 9.45361E+001	 1.45843E+002	 3.52983E-002	 3.52983E-002	 9.79600E+003	 8.00000E+000	 2.00000E+000	 0.00000E+000	 2.37065E+001	 3.84946E+001	 9.17483E+001	 1.00000E+002	 3.32907E-001	 6.95145E-002	 0.00000E+000	 2.69441E+002	 5.24851E+000	 1.15003E+000	 3.36794E+001	 3.39443E+001	 7.28875E+001	 2.64411E+002	 2.87615E+000	 8.43093E-001	 4.06410E-002	-2.18048E+001	-1.21831E+002	 4.01928E-002	-2.68349E+001	-1.26419E+002
 1.12346E+002	 1.09245E+002	 9.46865E+001	 1.45697E+002	 1.21879E+000	 9.81002E-001	 8.17000E+002	 1.13390E+002	 1.00000E+000	 1.36480E+004	 3.70000E+001	 1.52582E+006	 1.19563E+000	 1.04520E+001	 4.26400E-002	 3.43209E-002	 9.57518E-002	 6.58605E-002	 4.00790E+005	 9.45362E+001	 1.45843E+002	 3.52983E-002	 3.52983E-002	 9.79600E+003	 8.00000E+000	 3.00000E+000	 0.00000E+000	 3.11262E+001	 3.30572E+001	 5.23175E+001	 1.00000E+002	 2.44323E-001	 1.63235E-001	 0.00000E+000	 2.72269E+002	 1.33248E+001	 6.30144E-001	 3.36794E+001	 3.39443E+001	 7.28875E+001	 2.64434E+002	 2.87615E+000	 8.43093E-001	 1.08095E-001	 2.72269E+002	 1.01691E+002	 4.01928E-002	-2.68112E+001	-1.26378E+002
 1.12075E+002	 1.80091E+002	 9.44800E+001	 1.45749E+002	 1.40094E+000	 1.27228E+000	 1.98300E+003	 1.50095E+002	 1.00000E+000	 1.36490E+004	 2.00000E+001	 1.52591E+006	 1.78239E+000	 1.34198E+001	 3.14600E-002	 2.85707E-002	 7.51079E-002	 6.32207E-002	 4.00790E+005	 9.45361E+001	 1.45844E+002	 3.52983E-002	 3.52983E-002	 9.79600E+003	 8.00000E+000	 4.00000E+000	 0.00000E+000	 4.59763E+001	 4.57858E+001	 9.25231E+001	 1.00000E+002	 3.90348E-001	 8.25424E-002	 0.00000E+000	 2.65080E+002	 6.84863E+000	 7.86948E-001	 3.36794E+001	 3.39443E+001	 7.28875E+001	 2.64441E+002	 2.87615E+000	 8.43093E-001	 4.81303E-002	-2.61660E+001	-1.33633E+002	 4.01928E-002	-2.68042E+001	-1.26398E+002
 1.14659E+002	 1.11780E+002	 9.45846E+001	 1.45910E+002	 1.31436E+000	 1.28210E+000	 1.16600E+003	 1.48659E+002	 1.00000E+000	 1.36500E+004	 3.40000E+001	 1.52604E+006	 1.68514E+000	 1.05726E+001	 3.84914E-002	 3.75468E-002	 1.12834E-001	 1.07725E-001	 4.00790E+005	 9.45362E+001	 1.45844E+002	 3.52983E-002	 3.52983E-002	 9.79600E+003	 8.00000E+000	 5.00000E+000	 0.00000E+000	 2.98879E+001	 2.24648E+001	 6.56204E+001	 1.00000E+002	 2.52134E-001	 2.92029E-001	 0.00000E+000	 2.55581E+002	 7.43447E+000	 9.45392E-001	 3.36794E+001	 3.39443E+001	 7.28875E+001	 2.64443E+002	 2.87615E+000	 8.43093E-001	 1.24232E-002	-3.56642E+001	-1.08091E+002	 4.01928E-002	-2.68029E+001	-1.26318E+002
 1.08323E+002	 1.02663E+002	 9.45506E+001	 1.45962E+002	 1.30257E+000	 1.25460E+000	 1.04000E+003	 1.82473E+002	 1.00000E+000	 1.36530E+004	 4.50000E+001	 1.52637E+006	 1.63420E+000	 1.01323E+001	 4.03908E-002	 3.89036E-002	 1.44612E-001	 1.34624E-001	 4.00790E+005	 9.45360E+001	 1.45844E+002	 3.52983E-002	 3.52983E-002	 9.79600E+003	 8.00000E+000	 7.00000E+000	 0.00000E+000	 2.43610E+001	 3.38232E+001	 4.86918E+001	 1.00000E+002	 2.24850E-001	 5.17837E-001	 0.00000E+000	 2.81138E+002	 1.01728E+001	 7.31568E-001	 3.36794E+001	 3.39443E+001	 7.28875E+001	 2.64464E+002	 2.87615E+000	 8.43093E-001	 1.87561E-002	-1.01080E+001	-8.86574E+001	 4.01928E-002	-2.67810E+001	-1.26286E+002
 1.12596E+002	 1.16318E+002	 9.44669E+001	 1.45815E+002	 1.28196E+000	 1.15989E+000	 1.07800E+003	 1.32235E+002	 1.00000E+000	 1.36550E+004	 3.50000E+001	 1.52658E+006	 1.48693E+000	 1.07851E+001	 3.90451E-002	 3.53269E-002	 1.01299E-001	 8.44769E-002	 4.00790E+005	 9.45358E+001	 1.45844E+002	 3.52983E-002	 3.52983E-002	 9.79600E+003	 8.00000E+000	 8.00000E+000	 0.00000E+000	 1.81052E+001	 4.10604E+001	 6.15457E+001	 1.00000E+002	 2.57349E-001	 2.00594E-001	 0.00000E+000	 2.84309E+002	 7.22166E+000	 1.01220E+000	 3.36794E+001	 3.39443E+001	 7.28875E+001	 2.64470E+002	 2.87615E+000	 8.43093E-001	 4.99943E-002	-6.93677E+000	-1.16244E+002	 4.01928E-002	-2.67757E+001	-1.26349E+002
 1.09103E+002	 7.66434E+001	 9.43139E+001	 1.46101E+002	 1.20574E+000	 1.26210E+000	 7.25000E+002	 1.56293E+002	 1.00000E+000	 2.46590E+004	 5.30000E+001	 2.70437E+006	 1.52176E+000	 8.75462E+000	 4.47800E-002	 4.68732E-002	 1.29149E-001	 1.40652E-001	 7.13506E+005	 9.44700E+001	 1.46032E+002	 7.16840E-002	 7.16840E-002	 2.03000E+003	 4.00000E+000	 1.00000E+000	 0.00000E+000	 2.64655E+001	 1.21349E+001	 4.25671E+001	 1.00000E+002	 1.71894E-001	 5.59221E-001	 0.00000E+000	 2.56071E+002	 1.03878E+001	 8.58058E-001	 2.63065E+001	 1.17415E+001	 3.47345E+001	 2.50568E+002	 7.44638E+000	 7.15349E-001	-2.28380E-002	-3.51749E+001	-7.35004E+001	-4.50026E-002	-4.06771E+001	-5.72496E+001
 1.07430E+002	 6.47010E+001	 9.43303E+001	 1.46080E+002	 8.24580E-001	 9.55067E-001	 3.20000E+002	 9.74935E+001	 1.00000E+000	 2.46650E+004	 6.40000E+001	 2.70500E+006	 7.87528E-001	 8.04369E+000	 4.60954E-002	 5.33898E-002	 1.11767E-001	 1.45726E-001	 7.13506E+005	 9.44705E+001	 1.46031E+002	 7.16840E-002	 7.16840E-002	 2.03000E+003	 4.00000E+000	 4.00000E+000	 0.00000E+000	 1.67786E+001	 1.30877E+001	 3.45224E+001	 1.00000E+002	 1.37096E-001	 4.99128E-001	 0.00000E+000	 2.70557E+002	 1.52679E+001	 8.78733E-001	 2.63065E+001	 1.17415E+001	 3.47345E+001	 2.50496E+002	 7.44638E+000	 7.15349E-001	-7.33218E-002	-2.06888E+001	-8.54851E+000	-4.50026E-002	-4.07497E+001	-5.73259E+001
 1.05832E+002	 1.19348E+002	 9.43232E+001	 1.45723E+002	 1.33038E+000	 1.42209E+000	 1.38900E+003	 1.80266E+002	 1.00000E+000	 2.46690E+004	 3.30000E+001	 2.70539E+006	 1.89192E+000	 1.09247E+001	 3.56964E-002	 3.81573E-002	 1.03396E-001	 1.17156E-001	 7.13700E+005	 9.44012E+001	 1.45704E+002	 7.44012E-002	 7.44012E-002	 3.15100E+003	 4.00000E+000	 2.00000E+000	 0.00000E+000	 4.18002E+001	 2.90743E+001	 6.75303E+001	 1.00000E+002	 2.91660E-001	 2.59799E-001	 0.00000E+000	 2.66796E+002	 9.07075E+000	 7.09932E-001	 3.47246E+001	 1.81132E+001	 5.02884E+001	 2.56609E+002	 5.89243E+000	 7.25593E-001	-3.33205E-002	-2.44494E+001	-5.26724E+001	 1.39340E-002	-3.46365E+001	-1.08646E+002
