Offset	Amplitude	X Position	Y Position	X Peak Width	Y Peak Width	6 N Photons	ChiSquared	FitOK	Frame Number	Peak Index of Frame	Peak Global Index	12 X PkW * Y PkW	Sigma Amplitude	Sigma X Pos rtNph	Sigma Y Pos rtNph	Sigma X Pos Full	Sigma Y Pos Full	18 Grouped Index	Group X Position	Group Y Position	Group Sigma X Pos	Group Sigma Y Pos	Group N Photons	24 Group Size	Frame Index in Grp	Label Set	Amplitude L1	Amplitude L2	Amplitude L3	30 FitOK Labels	Zeta0	Sigma Amp L2	Sigma Amp L3	Unwrapped Z	Sigma Z	36 Coherence	Group A1	Group A2	Group A3	Unwrapped Group Z	Group Sigma Z	42 Group Coherence	XY Ellipticity	Z Position	Unwrapped Z Error	XY Group Ellipticity	Group Z Position	Unwrapped Group Z Error
 2.59367E+002	 2.49021E+003	 3.55364E+002	 2.43538E+002	 1.90890E+000	 1.40182E+000	 3.87350E+004	 1.38703E+004	 1.00000E+000	 1.42000E+002	 0.00000E+000	 2.58190E+004	 2.67594E+000	 4.99020E+001	 9.69910E-003	 7.12265E-003	 1.06219E-001	 5.75057E-002	 6.50600E+003	 3.55347E+002	 2.43551E+002	 3.79160E-002	 3.79160E-002	 1.52322E+005	 4.00000E+000	 1.00000E+000	 0.00000E+000	 9.26619E+002	 6.63327E+002	 9.32401E+002	 1.00000E+002	 5.18997E+000	 3.78920E-002	 0.00000E+000	 2.10028E+002	 4.20383E+000	 2.90078E-001	 9.09659E+002	 6.63652E+002	 9.41000E+002	 2.12317E+002	 2.00438E+000	 3.06796E-001	 1.53161E-001	 2.10028E+002	 7.55079E+001	 1.43985E-001	 2.12317E+002	 8.94324E+001
 2.82291E+002	 2.47412E+003	 3.55332E+002	 2.43543E+002	 1.83741E+000	 1.38614E+000	 3.70320E+004	 1.16332E+004	 1.00000E+000	 1.44000E+002	 0.00000E+000	 2.61640E+004	 2.54690E+000	 4.97405E+001	 9.54809E-003	 7.20309E-003	 1.04429E-001	 5.96393E-002	 6.50600E+003	 3.55347E+002	 2.43552E+002	 3.79160E-002	 3.79160E-002	 1.52322E+005	 4.00000E+000	 2.00000E+000	 0.00000E+000	 8.99405E+002	 6.65457E+002	 9.40402E+002	 1.00000E+002	 5.16227E+000	 3.50471E-002	 0.00000E+000	 2.13515E+002	 4.00695E+000	 3.11250E-001	 9.09659E+002	 6.63652E+002	 9.41000E+002	 2.11999E+002	 2.00438E+000	 3.06796E-001	 1.39990E-001	 2.13515E+002	 9.55856E+001	 1.43985E-001	 2.11999E+002	 8.91085E+001
 2.56076E+002	 2.51305E+003	 3.55336E+002	 2.43568E+002	 1.88438E+000	 1.41553E+000	 3.90610E+004	 1.48455E+004	 1.00000E+000	 1.45000E+002	 0.00000E+000	 2.63320E+004	 2.66741E+000	 5.01303E+001	 9.53449E-003	 7.16223E-003	 1.07753E-001	 6.10049E-002	 6.50600E+003	 3.55347E+002	 2.43552E+002	 3.79160E-002	 3.79160E-002	 1.52322E+005	 4.00000E+000	 3.00000E+000	 0.00000E+000	 9.07844E+002	 6.93290E+002	 9.37884E+002	 1.00000E+002	 5.22677E+000	 3.78091E-002	 0.00000E+000	 2.16973E+002	 4.16316E+000	 2.91687E-001	 9.09659E+002	 6.63652E+002	 9.41000E+002	 2.11838E+002	 2.00438E+000	 3.06796E-001	 1.42079E-001	 2.16973E+002	 9.64666E+001	 1.43985E-001	 2.11838E+002	 8.89578E+001
 2.62064E+002	 2.46284E+003	 3.55356E+002	 2.43557E+002	 1.85653E+000	 1.39979E+000	 3.74940E+004	 1.52586E+004	 1.00000E+000	 1.46000E+002	 0.00000E+000	 2.64920E+004	 2.59874E+000	 4.96270E+001	 9.58784E-003	 7.22904E-003	 1.07133E-001	 6.11061E-002	 6.50600E+003	 3.55347E+002	 2.43552E+002	 3.79160E-002	 3.79160E-002	 1.52322E+005	 4.00000E+000	 4.00000E+000	 0.00000E+000	 9.04155E+002	 6.31331E+002	 9.53722E+002	 1.00000E+002	 5.13498E+000	 4.20912E-002	 0.00000E+000	 2.07677E+002	 3.65020E+000	 3.39558E-001	 9.09659E+002	 6.63652E+002	 9.41000E+002	 2.11689E+002	 2.00438E+000	 3.06796E-001	 1.40264E-001	 2.07677E+002	 8.94182E+001	 1.43985E-001	 2.11689E+002	 8.88085E+001
 2.93794E+002	 2.43595E+003	 3.55358E+002	 2.43456E+002	 1.50640E+000	 1.33347E+000	 2.99420E+004	 7.42540E+003	 1.00000E+000	 1.60000E+002	 0.00000E+000	 2.88020E+004	 2.00874E+000	 4.93553E+001	 8.70562E-003	 7.70626E-003	 5.89258E-002	 4.63283E-002	 7.25000E+003	 3.55311E+002	 2.43378E+002	 9.10295E-003	 9.10295E-003	 1.11473E+006	 5.20000E+001	 1.00000E+000	 0.00000E+000	 8.36013E+002	 7.30993E+002	 8.87432E+002	 1.00000E+002	 5.05033E+000	 2.91175E-002	 0.00000E+000	-6.03708E+001	 4.70338E+000	 2.94891E-001	 5.39256E+002	 7.78976E+002	 7.10407E+002	-2.87962E+001	 4.05704E-001	 5.60296E-001	 6.08922E-002	 2.30875E+002	-9.04764E+001	 2.44446E-002	 2.62449E+002	-2.27608E+001
 2.91655E+002	 2.50960E+003	 3.55336E+002	 2.43417E+002	 1.48341E+000	 1.40443E+000	 3.19170E+004	 1.09321E+004	 1.00000E+000	 1.61000E+002	 0.00000E+000	 2.89590E+004	 2.08334E+000	 5.00959E+001	 8.30327E-003	 7.86122E-003	 6.15131E-002	 5.52023E-002	 7.25000E+003	 3.55311E+002	 2.43378E+002	 9.10295E-003	 9.10295E-003	 1.11473E+006	 5.20000E+001	 2.00000E+000	 0.00000E+000	 8.41883E+002	 8.04111E+002	 8.72777E+002	 1.00000E+002	 5.17085E+000	 3.89594E-002	 0.00000E+000	-4.67392E+001	 4.62079E+000	 2.90726E-001	 5.39256E+002	 7.78976E+002	 7.10407E+002	-2.89675E+001	 4.05704E-001	 5.60296E-001	 2.73466E-002	 2.44506E+002	-4.35493E+001	 2.44446E-002	 2.62278E+002	-2.29502E+001
 3.18083E+002	 2.52601E+003	 3.55349E+002	 2.43404E+002	 1.50332E+000	 1.36889E+000	 3.17490E+004	 1.13821E+004	 1.00000E+000	 1.62000E+002	 0.00000E+000	 2.91150E+004	 2.05787E+000	 5.02594E+001	 8.43695E-003	 7.68249E-003	 6.16655E-002	 5.12396E-002	 7.25000E+003	 3.55312E+002	 2.43378E+002	 9.10295E-003	 9.10295E-003	 1.11473E+006	 5.20000E+001	 3.00000E+000	 0.00000E+000	 8.04922E+002	 8.53217E+002	 8.78068E+002	 1.00000E+002	 5.21109E+000	 3.97529E-002	 0.00000E+000	-3.93196E+001	 3.83684E+000	 3.51053E-001	 5.39256E+002	 7.78976E+002	 7.10407E+002	-2.91247E+001	 4.05704E-001	 5.60296E-001	 4.68040E-002	 2.51926E+002	-5.52852E+001	 2.44446E-002	 2.62121E+002	-2.31095E+001
 3.07785E+002	 2.54621E+003	 3.55350E+002	 2.43404E+002	 1.51041E+000	 1.41602E+000	 3.31500E+004	 1.32570E+004	 1.00000E+000	 1.63000E+002	 0.00000E+000	 2.92770E+004	 2.13877E+000	 5.04600E+001	 8.29571E-003	 7.77728E-003	 6.45302E-002	 5.67883E-002	 7.25000E+003	 3.55312E+002	 2.43378E+002	 9.10295E-003	 9.10295E-003	 1.11473E+006	 5.20000E+001	 4.00000E+000	 0.00000E+000	 8.24675E+002	 8.34743E+002	 9.01547E+002	 1.00000E+002	 5.26601E+000	 4.20752E-002	 0.00000E+000	-4.48024E+001	 3.92194E+000	 3.36100E-001	 5.39256E+002	 7.78976E+002	 7.10407E+002	-2.92919E+001	 4.05704E-001	 5.60296E-001	 3.22549E-002	 2.46443E+002	-4.64113E+001	 2.44446E-002	 2.61954E+002	-2.32765E+001
 3.13490E+002	 2.51560E+003	 3.55347E+002	 2.43401E+002	 1.49924E+000	 1.42514E+000	 3.27270E+004	 9.67111E+003	 1.00000E+000	 1.65000E+002	 0.00000E+000	 2.95820E+004	 2.13663E+000	 5.01558E+001	 8.28740E-003	 7.87779E-003	 6.16503E-002	 5.57662E-002	 7.25000E+003	 3.55312E+002	 2.43378E+002	 9.10295E-003	 9.10295E-003	 1.11473E+006	 5.20000E+001	 5.00000E+000	 0.00000E+000	 8.27475E+002	 8.28835E+002	 8.72643E+002	 1.00000E+002	 5.19240E+000	 3.50098E-002	 0.00000E+000	-4.30279E+001	 4.22106E+000	 3.14294E-001	 5.39256E+002	 7.78976E+002	 7.10407E+002	-2.96357E+001	 4.05704E-001	 5.60296E-001	 2.53391E-002	 2.48218E+002	-3.78850E+001	 2.44446E-002	 2.61610E+002	-2.36219E+001
 3.22782E+002	 2.29016E+003	 3.55340E+002	 2.43383E+002	 1.38901E+000	 1.34353E+000	 2.63420E+004	 7.91292E+003	 1.00000E+000	 1.66000E+002	 0.00000E+000	 2.97500E+004	 1.86617E+000	 4.78556E+001	 8.55816E-003	 8.27794E-003	 5.57915E-002	 5.22451E-002	 7.25000E+003	 3.55312E+002	 2.43378E+002	 9.10295E-003	 9.10295E-003	 1.11473E+006	 5.20000E+001	 6.00000E+000	 0.00000E+000	 7.05910E+002	 7.93097E+002	 7.94589E+002	 1.00000E+002	 4.71522E+000	 4.01260E-002	 0.00000E+000	-3.69826E+001	 3.80749E+000	 3.88372E-001	 5.39256E+002	 7.78976E+002	 7.10407E+002	-2.97883E+001	 4.05704E-001	 5.60296E-001	 1.66436E-002	 2.54263E+002	-2.34019E+001	 2.44446E-002	 2.61457E+002	-2.37820E+001
