Offset	Amplitude	X Position	Y Position	X Peak Width	Y Peak Width	6 N Photons	ChiSquared	FitOK	Frame Number	Peak Index of Frame	Peak Global Index	12 X PkW * Y PkW	Sigma Amplitude	Sigma X Pos rtNph	Sigma Y Pos rtNph	Sigma X Pos Full	Sigma Y Pos Full	18 Grouped Index	Group X Position	Group Y Position	Group Sigma X Pos	Group Sigma Y Pos	Group N Photons	24 Group Size	Frame Index in Grp	Label Set	Amplitude L1	Amplitude L2	Amplitude L3	30 FitOK Labels	Zeta0	Sigma Amp L2	Sigma Amp L3	Z Position	Sigma Z	36 Coherence	Group A1	Group A2	Group A3	Group Z Position	Group Sigma Z	42 Group Coherence	XY Ellipticity	Unwrapped Z	Unwrapped Z Error	XY Group Ellipticity	Unwrapped Group Z	Unwrapped Group Z Error
 3.83461E+002	 2.26728E+003	 8.82476E+001	 6.53256E+001	 1.54051E+000	 1.39704E+000	 2.96270E+004	 1.30894E+004	 1.00000E+000	 6.30000E+001	 3.00000E+000	 1.07020E+004	 2.15216E+000	 4.76159E+001	 8.94995E-003	 8.11644E-003	 6.57236E-002	 5.41715E-002	 2.32100E+003	 8.81340E+001	 6.52439E+001	 2.86503E-002	 2.86503E-002	 1.89140E+005	 8.00000E+000	 1.00000E+000	 0.00000E+000	 6.31217E+002	 7.84470E+002	 8.27977E+002	 1.00000E+002	 2.63001E+000	 5.60040E-002	 0.00000E+000	 2.74543E+002	 4.15849E+000	 3.35299E-001	 4.53587E+002	 6.18299E+002	 7.50945E+002	 2.70618E+002	 1.09795E+000	 5.02615E-001	 4.88392E-002	 2.74543E+002	 1.02599E+002	 3.80311E-002	 2.70618E+002	 1.09351E+002
 3.76649E+002	 1.84745E+003	 8.82160E+001	 6.52731E+001	 1.50869E+000	 1.35435E+000	 2.30170E+004	 1.26214E+004	 1.00000E+000	 6.50000E+001	 3.20000E+001	 1.10510E+004	 2.04330E+000	 4.29820E+001	 9.94435E-003	 8.92704E-003	 7.40121E-002	 5.97869E-002	 2.32100E+003	 8.81366E+001	 6.52447E+001	 2.86503E-002	 2.86503E-002	 1.89140E+005	 8.00000E+000	 2.00000E+000	 0.00000E+000	 4.32975E+002	 6.20094E+002	 7.56284E+002	 1.00000E+002	 2.11559E+000	 8.02745E-002	 0.00000E+000	 2.71163E+002	 2.96653E+000	 5.33258E-001	 4.53587E+002	 6.18299E+002	 7.50945E+002	 2.70060E+002	 1.09795E+000	 5.02615E-001	 5.39074E-002	 2.71163E+002	 9.41384E+001	 3.80311E-002	 2.70060E+002	 1.08798E+002
 3.88193E+002	 1.84850E+003	 8.81767E+001	 6.52294E+001	 1.44283E+000	 1.29400E+000	 2.11920E+004	 9.93033E+003	 1.00000E+000	 6.60000E+001	 3.90000E+001	 1.12060E+004	 1.86702E+000	 4.29942E+001	 9.91125E-003	 8.88889E-003	 6.43908E-002	 5.19577E-002	 2.32100E+003	 8.81376E+001	 6.52457E+001	 2.86503E-002	 2.86503E-002	 1.89140E+005	 8.00000E+000	 3.00000E+000	 0.00000E+000	 4.37214E+002	 6.28755E+002	 7.57642E+002	 1.00000E+002	 2.13248E+000	 7.12776E-002	 0.00000E+000	 2.71467E+002	 3.13717E+000	 5.25518E-001	 4.53587E+002	 6.18299E+002	 7.50945E+002	 2.69762E+002	 1.09795E+000	 5.02615E-001	 5.43803E-002	 2.71467E+002	 9.39704E+001	 3.80311E-002	 2.69762E+002	 1.08504E+002
 2.55876E+002	 1.60321E+003	 8.79769E+001	 6.51171E+001	 1.51136E+000	 1.46042E+000	 2.11800E+004	 7.39038E+003	 1.00000E+000	 6.70000E+001	 1.55000E+002	 1.14330E+004	 2.20722E+000	 4.00402E+001	 1.03850E-002	 1.00349E-002	 9.42326E-002	 8.80287E-002	 2.32100E+003	 8.81386E+001	 6.52467E+001	 2.86503E-002	 2.86503E-002	 1.89140E+005	 8.00000E+000	 4.00000E+000	 0.00000E+000	 4.10228E+002	 4.87897E+002	 7.21001E+002	 1.00000E+002	 1.89168E+000	 6.56448E-002	 0.00000E+000	 2.60086E+002	 2.72279E+000	 6.05667E-001	 4.53587E+002	 6.18299E+002	 7.50945E+002	 2.69484E+002	 1.09795E+000	 5.02615E-001	 1.71422E-002	 2.60086E+002	 1.19011E+002	 3.80311E-002	 2.69484E+002	 1.08256E+002
 2.66489E+002	 1.74031E+003	 8.81157E+001	 6.52482E+001	 1.54678E+000	 1.46468E+000	 2.36050E+004	 1.01662E+004	 1.00000E+000	 6.80000E+001	 6.40000E+001	 1.15410E+004	 2.26554E+000	 4.17170E+001	 1.00676E-002	 9.53326E-003	 8.82330E-002	 7.91806E-002	 2.32100E+003	 8.81396E+001	 6.52481E+001	 2.86503E-002	 2.86503E-002	 1.89140E+005	 8.00000E+000	 5.00000E+000	 0.00000E+000	 3.99597E+002	 5.75369E+002	 7.26800E+002	 1.00000E+002	 1.98897E+000	 6.21155E-002	 0.00000E+000	 2.69138E+002	 2.76156E+000	 5.65659E-001	 4.53587E+002	 6.18299E+002	 7.50945E+002	 2.69250E+002	 1.09795E+000	 5.02615E-001	 2.72608E-002	 2.69138E+002	 1.18344E+002	 3.80311E-002	 2.69250E+002	 1.08003E+002
 2.79402E+002	 1.75558E+003	 8.80913E+001	 6.52443E+001	 1.52998E+000	 1.43920E+000	 2.32450E+004	 1.05843E+004	 1.00000E+000	 6.90000E+001	 6.20000E+001	 1.17020E+004	 2.20196E+000	 4.18996E+001	 1.00351E-002	 9.43968E-003	 8.89629E-002	 7.87904E-002	 2.32100E+003	 8.81400E+001	 6.52485E+001	 2.86503E-002	 2.86503E-002	 1.89140E+005	 8.00000E+000	 6.00000E+000	 0.00000E+000	 4.36468E+002	 5.83227E+002	 7.12934E+002	 1.00000E+002	 2.02679E+000	 7.49744E-002	 0.00000E+000	 2.68160E+002	 3.16686E+000	 4.97070E-001	 4.53587E+002	 6.18299E+002	 7.50945E+002	 2.68975E+002	 1.09795E+000	 5.02615E-001	 3.05744E-002	 2.68160E+002	 1.14170E+002	 3.80311E-002	 2.68975E+002	 1.07731E+002
 2.83184E+002	 1.85645E+003	 8.81186E+001	 6.52770E+001	 1.53236E+000	 1.42899E+000	 2.44410E+004	 1.32535E+004	 1.00000E+000	 7.00000E+001	 4.00000E+001	 1.18300E+004	 2.18972E+000	 4.30865E+001	 9.80167E-003	 9.14049E-003	 9.14881E-002	 7.96368E-002	 2.32100E+003	 8.81398E+001	 6.52486E+001	 2.86503E-002	 2.86503E-002	 1.89140E+005	 8.00000E+000	 7.00000E+000	 0.00000E+000	 4.35132E+002	 6.11075E+002	 7.64574E+002	 1.00000E+002	 2.11696E+000	 8.01484E-002	 0.00000E+000	 2.68322E+002	 2.82154E+000	 5.44083E-001	 4.53587E+002	 6.18299E+002	 7.50945E+002	 2.68688E+002	 1.09795E+000	 5.02615E-001	 3.49051E-002	 2.68322E+002	 1.10125E+002	 3.80311E-002	 2.68688E+002	 1.07440E+002
 2.81290E+002	 1.72646E+003	 8.81234E+001	 6.52232E+001	 1.53936E+000	 1.43136E+000	 2.28330E+004	 9.17147E+003	 1.00000E+000	 7.10000E+001	 7.50000E+001	 1.20170E+004	 2.20338E+000	 4.15507E+001	 1.01873E-002	 9.47258E-003	 8.91915E-002	 7.72020E-002	 2.32100E+003	 8.81402E+001	 6.52489E+001	 2.86503E-002	 2.86503E-002	 1.89140E+005	 8.00000E+000	 8.00000E+000	 0.00000E+000	 3.92291E+002	 5.99948E+002	 7.16241E+002	 1.00000E+002	 1.99723E+000	 6.30706E-002	 0.00000E+000	 2.71883E+002	 2.87999E+000	 5.51492E-001	 4.53587E+002	 6.18299E+002	 7.50945E+002	 2.68404E+002	 1.09795E+000	 5.02615E-001	 3.63539E-002	 2.71883E+002	 1.12273E+002	 3.80311E-002	 2.68404E+002	 1.07155E+002
 2.58404E+002	 1.72073E+003	 8.80300E+001	 6.51980E+001	 1.48284E+000	 1.32018E+000	 2.05200E+004	 7.77491E+003	 1.00000E+000	 8.60000E+001	 8.00000E+001	 1.43210E+004	 1.95761E+000	 4.14817E+001	 1.03515E-002	 9.21601E-003	 7.77798E-002	 6.18094E-002	 3.09000E+003	 8.80587E+001	 6.52018E+001	 3.09429E-002	 3.09429E-002	 1.01366E+005	 5.00000E+000	 1.00000E+000	 0.00000E+000	 4.43743E+002	 7.51549E+002	 5.46247E+002	 1.00000E+002	 2.04473E+000	 3.96119E-002	 0.00000E+000	 1.65182E+001	 4.63349E+000	 3.61588E-001	 4.18739E+002	 7.27959E+002	 5.31943E+002	 1.54106E+001	 1.99665E+000	 3.77541E-001	 5.80309E-002	 3.07764E+002	 1.26587E+002	 4.21684E-002	 3.06656E+002	 1.41360E+002
 2.55606E+002	 1.55272E+003	 8.81777E+001	 6.53202E+001	 1.50983E+000	 1.35607E+000	 1.93700E+004	 5.23800E+003	 1.00000E+000	 8.70000E+001	 6.69000E+002	 1.45430E+004	 2.04744E+000	 3.94046E+001	 1.08484E-002	 9.74358E-003	 5.88605E-002	 4.76947E-002	 3.09000E+003	 8.80590E+001	 6.52014E+001	 3.09429E-002	 3.09429E-002	 1.01366E+005	 5.00000E+000	 2.00000E+000	 0.00000E+000	 3.81883E+002	 6.83560E+002	 5.01022E+002	 1.00000E+002	 1.83843E+000	 3.36450E-002	 0.00000E+000	 1.41401E+001	 4.36565E+000	 3.95000E-001	 4.18739E+002	 7.27959E+002	 5.31943E+002	 1.49997E+001	 1.99665E+000	 3.77541E-001	 5.36509E-002	 3.05386E+002	 1.28626E+002	 4.21684E-002	 3.06245E+002	 1.40927E+002
